order_id,customer_id,product_name,quantity,unit_price,order_date
1001,10,Gadget X,1,83.66,2026-03-06
1002,4,Gadget X,2,82.59,2026-03-07
1003,1,Widget A,2,98.55,2026-03-02
1004,2,Gadget Y,4,89.75,2026-03-05
1005,4,Gadget Y,4,45.97,2026-03-05
1006,1,Widget A,4,29.70,2026-03-02
1007,9,Gadget Y,1,60.17,2026-03-07
1008,2,Gadget Y,2,82.13,2026-03-07
1009,9,Thingamajig,5,38.56,2026-03-06
1010,8,Thingamajig,5,48.41,2026-03-07
1011,8,Widget B,4,50.51,2026-03-05
1012,4,Gadget X,5,53.61,2026-03-07
1013,5,Gadget Y,1,74.22,2026-03-02
1014,5,Gadget X,3,90.37,2026-03-02
1015,3,Widget B,2,44.47,2026-03-01
1016,4,Widget A,4,46.68,2026-03-02
1017,8,Gadget Y,1,28.62,2026-03-05
1018,10,Widget A,5,44.23,2026-03-05
1019,6,Gadget X,4,86.81,2026-03-01
1020,7,Thingamajig,5,81.99,2026-03-07
1021,8,Widget B,3,49.23,2026-03-02
1022,7,Gadget X,4,75.18,2026-03-01
1023,8,Widget B,5,58.07,2026-03-07
1024,10,Widget A,1,67.85,2026-03-06
1025,8,Widget B,1,33.41,2026-03-02
1026,4,Gadget Y,3,40.38,2026-03-03
1027,7,Gadget X,1,52.33,2026-03-03
1028,9,Widget A,3,30.18,2026-03-06
1029,1,Widget A,2,27.94,2026-03-01
1030,10,Widget B,2,21.36,2026-03-01
1031,2,Thingamajig,2,51.85,2026-03-06
1032,6,Widget B,5,64.65,2026-03-03
1033,2,Widget B,3,19.73,2026-03-06
1034,5,Thingamajig,4,45.70,2026-03-01
1035,4,Widget A,5,72.16,2026-03-06
1036,4,Widget A,3,86.53,2026-03-06
1037,2,Thingamajig,1,41.25,2026-03-05
1038,6,Widget A,5,68.28,2026-03-07
1039,7,Gadget Y,1,49.02,2026-03-01
1040,8,Widget B,4,25.85,2026-03-03
1041,5,Thingamajig,5,79.72,2026-03-05
1042,10,Gadget X,3,86.65,2026-03-05
1043,2,Gadget X,4,31.95,2026-03-07
1044,10,Gadget Y,3,12.58,2026-03-06
1045,6,Widget B,4,29.09,2026-03-07
1046,5,Gadget X,3,89.23,2026-03-07
1047,5,Thingamajig,1,56.50,2026-03-06
1048,2,Widget B,4,53.97,2026-03-02
1049,4,Gadget Y,4,50.34,2026-03-07
1050,2,Gadget X,2,46.40,2026-03-01
